time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
5.500 2601 0.069 0.069 2601 0.019 0.019 2601 0.043 0.043 2601 0.050 0.050 2601 0.058 0.058 2601 0.052 0.052 2601 0.083 0.084 2601 0.039 0.039 2601 0.030 0.030 2601 0.188 0.189 2601 0.140 0.140 2601 0.064 0.064 2601 0.065 0.065 2601 0.430 0.432 2601 0.015 0.015 2601 0.103 0.103 2601 0.079 0.079 2601 0.170 0.176 2601 0.224 0.253 2601 0.044 0.045 2601 0.025 0.025 2601 0.123 0.124 2601 0.133 0.133 2601 0.214 0.215 2601 2.458 0.430 2.500 0.432
6.000 2601 0.084 0.085 2601 0.023 0.023 2601 0.046 0.046 2601 0.054 0.054 2601 0.065 0.065 2601 0.052 0.052 2601 0.085 0.086 2601 0.043 0.043 2601 0.045 0.045 2601 0.232 0.233 2601 0.208 0.208 2601 0.109 0.109 2601 0.100 0.100 2601 0.376 0.378 2601 0.049 0.049 2601 0.092 0.092 2601 0.177 0.177 2601 0.162 0.168 2601 0.201 0.230 2601 0.060 0.060 2601 0.151 0.151 2601 0.126 0.127 2601 0.262 0.262 2601 0.199 0.201 2601 3.003 0.376 3.045 0.378
6.500 2601 0.084 0.084 2601 0.041 0.041 2601 0.057 0.057 2601 0.061 0.061 2601 0.077 0.077 2601 0.068 0.068 2601 0.089 0.089 2601 0.054 0.054 2601 0.055 0.055 2601 0.245 0.245 2601 0.245 0.245 2601 0.169 0.169 2601 0.123 0.123 2601 0.451 0.451 2601 0.055 0.055 2601 0.092 0.092 2601 0.217 0.217 2601 0.114 0.114 2601 0.191 0.191 2601 0.068 0.068 2601 0.170 0.170 2601 0.133 0.133 2601 0.274 0.274 2601 0.291 0.291 2601 3.422 0.451 3.422 0.451
7.000 2601 0.039 0.039 2601 0.037 0.037 2601 0.039 0.039 2601 0.028 0.028 2601 0.034 0.034 2601 0.043 0.043 2601 0.041 0.041 2601 0.036 0.036 2601 0.094 0.094 2601 0.159 0.159 2601 0.190 0.190 2601 0.223 0.223 2601 0.102 0.102 2601 0.356 0.356 2601 0.114 0.114 2601 0.040 0.040 2601 0.222 0.222 2601 0.089 0.089 2601 0.180 0.180 2601 0.031 0.031 2601 0.153 0.153 2601 0.150 0.150 2601 0.211 0.211 2601 0.195 0.195 2601 2.805 0.356 2.805 0.356
7.500 2601 0.065 0.065 2601 0.045 0.045 2601 0.048 0.048 2601 0.042 0.042 2601 0.064 0.064 2601 0.047 0.047 2601 0.047 0.047 2601 0.035 0.035 2601 0.100 0.100 2601 0.108 0.108 2601 0.230 0.230 2601 0.229 0.229 2601 0.098 0.098 2601 0.226 0.226 2601 0.206 0.206 2601 0.065 0.065 2601 0.245 0.245 2601 0.087 0.087 2601 0.234 0.234 2601 0.036 0.036 2601 0.149 0.149 2601 0.168 0.168 2601 0.159 0.159 2601 0.276 0.276 2601 3.010 0.276 3.010 0.276
8.000 2601 0.077 0.077 2601 0.070 0.070 2601 0.073 0.073 2601 0.061 0.061 2601 0.065 0.065 2601 0.083 0.083 2601 0.086 0.086 2601 0.055 0.055 2601 0.091 0.091 2601 0.192 0.192 2601 0.302 0.302 2601 0.184 0.184 2601 0.095 0.095 2601 0.311 0.311 2601 0.270 0.270 2601 0.098 0.098 2601 0.202 0.202 2601 0.134 0.134 2601 0.374 0.374 2601 0.042 0.042 2601 0.114 0.114 2601 0.207 0.207 2601 0.150 0.150 2601 0.249 0.249 2601 3.586 0.374 3.586 0.374
8.500 2601 0.105 0.105 2601 0.074 0.074 2601 0.061 0.061 2601 0.072 0.072 2601 0.069 0.069 2601 0.097 0.097 2601 0.096 0.096 2601 0.073 0.073 2601 0.119 0.119 2601 0.200 0.200 2601 0.282 0.282 2601 0.190 0.190 2601 0.089 0.089 2601 0.318 0.318 2601 0.282 0.282 2601 0.199 0.199 2601 0.182 0.182 2601 0.235 0.235 2601 0.381 0.381 2601 0.043 0.043 2601 0.144 0.144 2601 0.223 0.223 2601 0.157 0.157 2601 0.179 0.179 2601 3.871 0.381 3.871 0.381
9.000 2601 0.097 0.097 2601 0.069 0.069 2601 0.050 0.050 2601 0.056 0.056 2601 0.068 0.068 2601 0.074 0.074 2601 0.089 0.089 2601 0.059 0.059 2601 0.072 0.072 2601 0.189 0.189 2601 0.272 0.272 2601 0.096 0.096 2601 0.073 0.073 2601 0.286 0.286 2601 0.217 0.217 2601 0.184 0.184 2601 0.114 0.114 2601 0.195 0.195 2601 0.339 0.339 2601 0.038 0.038 2601 0.227 0.227 2601 0.109 0.109 2601 0.144 0.144 2601 0.172 0.172 2601 3.289 0.339 3.289 0.339
9.500 2601 0.100 0.100 2601 0.060 0.060 2601 0.060 0.060 2601 0.055 0.055 2601 0.062 0.062 2601 0.116 0.116 2601 0.084 0.084 2601 0.086 0.086 2601 0.081 0.081 2601 0.296 0.296 2601 0.209 0.209 2601 0.177 0.177 2601 0.099 0.099 2601 0.271 0.271 2601 0.171 0.171 2601 0.182 0.182 2601 0.095 0.095 2601 0.277 0.277 2601 0.377 0.377 2601 0.057 0.057 2601 0.234 0.234 2601 0.212 0.212 2601 0.198 0.198 2601 0.133 0.133 2601 3.694 0.377 3.694 0.377
10.000 2601 0.110 0.110 2601 0.097 0.097 2601 0.078 0.078 2601 0.073 0.073 2601 0.117 0.117 2601 0.106 0.106 2601 0.062 0.062 2601 0.122 0.122 2601 0.084 0.084 2601 0.242 0.242 2601 0.148 0.148 2601 0.284 0.284 2601 0.206 0.206 2601 0.255 0.255 2601 0.189 0.189 2601 0.222 0.222 2601 0.208 0.208 2601 0.339 0.339 2601 0.359 0.359 2601 0.072 0.072 2601 0.247 0.247 2601 0.289 0.289 2601 0.265 0.265 2601 0.150 0.150 2601 4.326 0.359 4.326 0.359
10.500 2601 0.079 0.079 2601 0.087 0.087 2601 0.078 0.078 2601 0.071 0.071 2601 0.104 0.104 2601 0.092 0.092 2601 0.065 0.065 2601 0.093 0.093 2601 0.068 0.068 2601 0.290 0.290 2601 0.216 0.216 2601 0.228 0.228 2601 0.200 0.200 2601 0.167 0.167 2601 0.184 0.184 2601 0.186 0.186 2601 0.236 0.236 2601 0.255 0.255 2601 0.281 0.281 2601 0.139 0.139 2601 0.197 0.197 2601 0.374 0.374 2601 0.251 0.251 2601 0.214 0.214 2601 4.155 0.374 4.155 0.374
