time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
6.750 1700 0.100 0.100 1700 0.133 0.133 1700 0.192 0.192 1700 0.117 0.117 1700 0.100 0.100 1700 0.133 0.133 1700 0.192 0.192 1700 0.117 0.117 1700 1.083 0.192 1.083 0.192
7.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.067 0.033 0.047 0.033
7.250 2200 0.067 0.052 2200 0.020 0.016 2200 0.000 0.000 2200 0.020 0.016 2200 0.067 0.052 2200 0.020 0.016 2200 0.000 0.000 2200 0.020 0.016 2200 0.213 0.067 0.165 0.067
7.500 1900 0.350 0.301 1900 0.142 0.127 1900 0.058 0.052 1900 0.283 0.253 1900 0.350 0.301 1900 0.142 0.127 1900 0.058 0.052 1900 0.283 0.253 1900 1.667 0.350 1.467 0.350
7.750 2401 0.000 0.000 2401 0.020 0.018 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.020 0.018 2401 0.033 0.024 2401 0.000 0.000 2401 0.107 0.033 0.083 0.033
8.000 2200 0.158 0.122 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.158 0.122 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.317 0.158 0.245 0.158
8.250 1900 0.000 0.000 1900 0.033 0.030 1900 0.033 0.030 1900 0.000 0.000 1900 0.000 0.000 1900 0.033 0.030 1900 0.033 0.030 1900 0.000 0.000 1900 0.133 0.033 0.119 0.033
8.500 1700 0.100 0.100 1700 0.100 0.100 1700 0.033 0.033 1700 0.158 0.158 1700 0.100 0.100 1700 0.100 0.100 1700 0.033 0.033 1700 0.158 0.158 1700 0.783 0.158 0.783 0.158
8.750 2401 0.233 0.224 2401 0.167 0.147 2401 0.033 0.033 2401 0.067 0.057 2401 0.233 0.224 2401 0.167 0.147 2401 0.033 0.033 2401 0.067 0.057 2401 1.000 0.233 0.922 0.233
9.000 2200 0.000 0.000 2200 0.050 0.039 2200 0.025 0.019 2200 0.000 0.000 2200 0.000 0.000 2200 0.050 0.039 2200 0.025 0.019 2200 0.000 0.000 2200 0.150 0.050 0.116 0.050
9.250 1900 0.000 0.000 1900 0.033 0.030 1900 0.000 0.000 1900 0.025 0.022 1900 0.000 0.000 1900 0.033 0.030 1900 0.000 0.000 1900 0.025 0.022 1900 0.117 0.033 0.104 0.033
9.500 2400 0.383 0.318 2400 0.133 0.101 2400 0.233 0.209 2400 0.150 0.128 2400 0.383 0.318 2400 0.133 0.101 2400 0.233 0.209 2400 0.150 0.119 2400 1.800 0.383 1.502 0.383
9.750 2400 0.000 0.000 2400 0.000 0.000 2400 0.040 0.028 2400 0.033 0.024 2400 0.000 0.000 2400 0.000 0.000 2400 0.040 0.028 2400 0.033 0.024 2400 0.147 0.040 0.104 0.040
10.000 2200 0.067 0.052 2200 0.000 0.000 2200 0.050 0.039 2200 0.000 0.000 2200 0.067 0.052 2200 0.000 0.000 2200 0.050 0.039 2200 0.000 0.000 2200 0.233 0.067 0.180 0.067
10.250 1800 0.000 0.000 1800 0.000 0.000 1800 0.000 0.000 1800 0.020 0.016 1800 0.000 0.000 1800 0.000 0.000 1800 0.000 0.000 1800 0.020 0.016 1800 0.040 0.020 0.031 0.020
10.500 1700 0.092 0.090 1700 0.067 0.067 1700 0.000 0.000 1700 0.200 0.200 1700 0.092 0.090 1700 0.067 0.067 1700 0.000 0.000 1700 0.200 0.200 1700 0.717 0.200 0.714 0.200
10.750 2401 0.125 0.098 2401 0.225 0.198 2401 0.292 0.255 2401 0.242 0.222 2401 0.125 0.098 2401 0.225 0.198 2401 0.292 0.255 2401 0.242 0.222 2401 1.767 0.292 1.548 0.292
11.000 2401 0.325 0.230 2401 0.250 0.177 2401 0.158 0.112 2401 0.117 0.083 2401 0.325 0.230 2401 0.250 0.177 2401 0.158 0.112 2401 0.117 0.083 2401 1.700 0.325 1.204 0.325
11.250 2401 0.000 0.000 2401 0.025 0.018 2401 0.050 0.035 2401 0.000 0.000 2401 0.000 0.000 2401 0.025 0.018 2401 0.050 0.035 2401 0.000 0.000 2401 0.150 0.050 0.106 0.050
11.500 2401 0.175 0.124 2401 0.133 0.094 2401 0.267 0.189 2401 0.370 0.262 2401 0.175 0.124 2401 0.133 0.094 2401 0.267 0.189 2401 0.370 0.262 2401 1.890 0.370 1.338 0.370
11.750 2200 0.025 0.018 2200 0.025 0.018 2200 0.000 0.000 2200 0.000 0.000 2200 0.025 0.018 2200 0.025 0.018 2200 0.000 0.000 2200 0.000 0.000 2200 0.100 0.025 0.071 0.025
12.000 1900 0.058 0.045 1900 0.000 0.000 1900 0.025 0.019 1900 0.000 0.000 1900 0.058 0.045 1900 0.000 0.000 1900 0.025 0.019 1900 0.000 0.000 1900 0.167 0.058 0.129 0.058
12.250 1700 0.133 0.119 1700 0.000 0.000 1700 0.000 0.000 1700 0.020 0.020 1700 0.133 0.119 1700 0.000 0.000 1700 0.000 0.000 1700 0.020 0.020 1700 0.307 0.133 0.278 0.133
12.500 1500 0.067 0.071 1500 0.100 0.109 1500 0.067 0.071 1500 0.067 0.071 1500 0.067 0.071 1500 0.100 0.109 1500 0.067 0.071 1500 0.067 0.071 1500 0.600 0.100 0.644 0.109
12.750 2401 0.067 0.076 2401 0.158 0.186 2401 0.000 0.000 2401 0.367 0.465 2401 0.067 0.076 2401 0.158 0.186 2401 0.000 0.000 2401 0.367 0.464 2401 1.183 0.367 1.452 0.465
13.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.067 0.033 0.047 0.033
13.250 2200 0.000 0.000 2200 0.025 0.019 2200 0.000 0.000 2200 0.020 0.016 2200 0.000 0.000 2200 0.025 0.019 2200 0.000 0.000 2200 0.020 0.016 2200 0.090 0.025 0.070 0.025
13.500 1900 0.417 0.373 1900 0.173 0.155 1900 0.092 0.082 1900 0.100 0.089 1900 0.417 0.373 1900 0.173 0.155 1900 0.092 0.082 1900 0.100 0.089 1900 1.563 0.417 1.399 0.417
13.750 2401 0.092 0.071 2401 0.075 0.053 2401 0.092 0.065 2401 0.133 0.094 2401 0.092 0.071 2401 0.075 0.053 2401 0.092 0.065 2401 0.133 0.094 2401 0.783 0.133 0.567 0.133
14.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.067 0.033 0.047 0.033
14.250 2200 0.125 0.095 2200 0.000 0.000 2200 0.000 0.000 2200 0.025 0.019 2200 0.125 0.095 2200 0.000 0.000 2200 0.000 0.000 2200 0.025 0.019 2200 0.300 0.125 0.227 0.125
14.500 1900 0.067 0.056 1900 0.000 0.000 1900 0.033 0.030 1900 0.050 0.045 1900 0.067 0.056 1900 0.000 0.000 1900 0.033 0.030 1900 0.050 0.045 1900 0.300 0.067 0.260 0.067
14.750 1900 0.142 0.127 1900 0.083 0.075 1900 0.358 0.321 1900 0.142 0.127 1900 0.142 0.127 1900 0.083 0.075 1900 0.358 0.321 1900 0.142 0.127 1900 1.450 0.358 1.297 0.358
15.000 2401 0.067 0.053 2401 0.000 0.000 2401 0.067 0.060 2401 0.000 0.000 2401 0.067 0.053 2401 0.000 0.000 2401 0.067 0.060 2401 0.000 0.000 2401 0.267 0.067 0.226 0.067
15.250 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 0.000 0.000
15.500 1900 0.233 0.197 1900 0.333 0.282 1900 0.083 0.075 1900 0.133 0.111 1900 0.233 0.197 1900 0.333 0.282 1900 0.083 0.075 1900 0.133 0.111 1900 1.567 0.333 1.328 0.333
15.750 2401 0.100 0.083 2401 0.067 0.053 2401 0.100 0.071 2401 0.067 0.047 2401 0.100 0.083 2401 0.067 0.053 2401 0.100 0.071 2401 0.067 0.047 2401 0.667 0.100 0.509 0.100
16.000 2401 0.000 0.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.058 0.041 2401 0.000 0.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.058 0.041 2401 0.183 0.058 0.130 0.058
16.250 2200 0.125 0.095 2200 0.000 0.000 2200 0.020 0.014 2200 0.000 0.000 2200 0.125 0.095 2200 0.000 0.000 2200 0.020 0.014 2200 0.000 0.000 2200 0.290 0.125 0.218 0.125
16.500 1900 0.067 0.056 1900 0.000 0.000 1900 0.020 0.018 1900 0.033 0.030 1900 0.067 0.056 1900 0.000 0.000 1900 0.020 0.018 1900 0.033 0.030 1900 0.240 0.067 0.206 0.067
16.750 2200 0.200 0.171 2200 0.217 0.182 2200 0.612 0.491 2200 0.158 0.130 2200 0.200 0.171 2200 0.217 0.182 2200 0.612 0.491 2200 0.158 0.130 2200 2.373 0.612 1.948 0.612
17.000 2401 0.183 0.140 2401 0.050 0.039 2401 0.158 0.122 2401 0.050 0.039 2401 0.183 0.140 2401 0.050 0.039 2401 0.158 0.122 2401 0.050 0.039 2401 0.883 0.183 0.678 0.183
17.250 2200 0.000 0.000 2200 0.000 0.000 2200 0.033 0.024 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.033 0.024 2200 0.000 0.000 2200 0.067 0.033 0.047 0.033
17.500 2401 0.183 0.137 2401 0.050 0.039 2401 0.283 0.215 2401 0.233 0.180 2401 0.183 0.137 2401 0.050 0.039 2401 0.283 0.215 2401 0.233 0.180 2401 1.500 0.283 1.143 0.283
17.750 2200 0.033 0.026 2200 0.058 0.045 2200 0.050 0.039 2200 0.050 0.039 2200 0.033 0.026 2200 0.058 0.045 2200 0.050 0.039 2200 0.050 0.039 2200 0.383 0.058 0.296 0.058
18.000 1900 0.058 0.048 1900 0.000 0.000 1900 0.000 0.000 1900 0.025 0.019 1900 0.058 0.048 1900 0.000 0.000 1900 0.000 0.000 1900 0.025 0.019 1900 0.167 0.058 0.135 0.058
