time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.500 2528 0.017 0.017 2528 0.017 0.017 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.033 1.000 2.033 1.000
1.000 2528 0.017 0.017 2528 0.008 0.008 2528 0.002 0.002 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.037 0.037 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.064 1.000 2.064 1.000
1.500 2528 0.015 0.015 2528 0.006 0.006 2528 0.001 0.001 2528 0.000 0.000 2528 0.003 0.003 2528 0.000 0.000 2528 0.000 0.000 2528 0.025 0.025 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.989 0.989 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.039 1.000 2.039 1.000
2.000 2528 0.065 0.065 2528 0.038 0.038 2528 0.045 0.045 2528 0.040 0.040 2528 0.049 0.049 2528 0.030 0.030 2528 0.048 0.048 2528 0.047 0.047 2528 0.030 0.030 2528 0.018 0.018 2528 1.000 1.000 2528 0.000 0.000 2528 0.992 0.992 2528 0.017 0.017 2528 0.028 0.028 2528 0.026 0.026 2528 2.470 1.000 2.470 1.000
2.500 2528 0.069 0.069 2528 0.043 0.043 2528 0.049 0.049 2528 0.040 0.040 2528 0.053 0.053 2528 0.036 0.036 2528 0.048 0.048 2528 0.047 0.047 2528 0.042 0.042 2528 0.018 0.018 2528 1.000 1.000 2528 0.000 0.000 2528 0.767 0.767 2528 0.234 0.234 2528 0.041 0.041 2528 0.039 0.039 2528 2.524 1.000 2.524 1.000
3.000 2528 0.083 0.083 2528 0.043 0.043 2528 0.067 0.067 2528 0.040 0.040 2528 0.072 0.072 2528 0.041 0.041 2528 0.048 0.048 2528 0.035 0.035 2528 0.042 0.042 2528 0.070 0.070 2528 0.996 0.996 2528 0.000 0.000 2528 0.517 0.517 2528 0.484 0.484 2528 0.041 0.041 2528 0.039 0.039 2528 2.617 0.996 2.617 0.996
3.500 2528 0.084 0.084 2528 0.047 0.047 2528 0.067 0.067 2528 0.040 0.040 2528 0.070 0.070 2528 0.046 0.046 2528 0.048 0.048 2528 0.035 0.035 2528 0.042 0.042 2528 0.070 0.070 2528 0.996 0.996 2528 0.000 0.000 2528 0.275 0.275 2528 0.734 0.734 2528 0.041 0.041 2528 0.039 0.039 2528 2.634 0.996 2.634 0.996
4.000 2528 0.040 0.040 2528 0.034 0.034 2528 0.031 0.031 2528 0.004 0.004 2528 0.023 0.023 2528 0.033 0.033 2528 0.053 0.053 2528 0.010 0.010 2528 0.013 0.013 2528 0.085 0.085 2528 0.996 0.996 2528 0.000 0.000 2528 0.025 0.025 2528 0.926 0.926 2528 0.021 0.021 2528 0.013 0.013 2528 2.306 0.996 2.306 0.996
4.500 2528 0.080 0.080 2528 0.051 0.051 2528 0.063 0.063 2528 0.054 0.054 2528 0.044 0.044 2528 0.068 0.068 2528 0.073 0.073 2528 0.049 0.049 2528 0.013 0.013 2528 0.319 0.319 2528 0.996 0.996 2528 0.000 0.000 2528 0.053 0.053 2528 0.747 0.747 2528 0.074 0.074 2528 0.049 0.049 2528 2.733 0.996 2.733 0.996
5.000 2528 0.066 0.066 2528 0.053 0.053 2528 0.047 0.047 2528 0.090 0.090 2528 0.062 0.062 2528 0.064 0.064 2528 0.073 0.073 2528 0.042 0.042 2528 0.263 0.263 2528 0.267 0.267 2528 1.000 1.000 2528 0.000 0.000 2528 0.053 0.053 2528 0.497 0.497 2528 0.074 0.074 2528 0.049 0.049 2528 2.699 1.000 2.699 1.000
