time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
2.750 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.117 0.117 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.067 0.067 3401 0.000 0.000 3401 0.176 0.176 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.572 0.572 3401 0.020 0.020 3401 0.000 0.000 3401 0.000 0.000 3401 1.027 0.572 1.027 0.572
3.000 3401 0.000 0.000 3401 0.333 0.333 3401 0.050 0.050 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.017 0.017 3401 0.032 0.032 3401 0.050 0.050 3401 0.100 0.100 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.271 0.271 3401 0.150 0.150 3401 0.007 0.007 3401 0.000 0.000 3401 0.000 0.000 3401 1.035 0.333 1.035 0.333
3.250 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.014 0.014 3401 0.000 0.000 3401 0.000 0.000 3401 0.064 0.064 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.267 0.267 3401 0.000 0.000 3401 0.000 0.000 3401 0.587 0.587 3401 0.000 0.000 3401 0.932 0.587 0.932 0.587
3.500 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.053 0.053 3401 0.100 0.100 3401 0.014 0.014 3401 0.000 0.000 3401 0.000 0.000 3401 0.067 0.067 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.125 0.125 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.440 0.440 3401 0.300 0.300 3401 0.000 0.000 3401 1.124 0.440 1.124 0.440
3.750 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.020 0.020 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.014 0.014 3401 0.000 0.000 3401 0.000 0.000 3401 0.150 0.150 3401 0.520 0.520 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.005 0.005 3401 0.009 0.009 3401 0.115 0.115 3401 0.000 0.000 3401 0.867 0.520 0.867 0.520
4.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.067 0.067 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.050 0.050 3401 0.267 0.267 3401 0.000 0.000 3401 0.000 0.000 3401 0.050 0.050 3401 0.453 0.453 3401 0.000 0.000 3401 0.025 0.025 3401 0.014 0.014 3401 0.959 0.453 0.959 0.453
4.250 3401 0.100 0.100 3401 0.092 0.092 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.050 0.050 3401 0.050 0.050 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.308 0.308 3401 0.020 0.020 3401 0.267 0.267 3401 0.000 0.000 3401 0.189 0.189 3401 0.000 0.000 3401 0.258 0.258 3401 0.025 0.025 3401 1.443 0.308 1.443 0.308
4.500 3401 0.033 0.033 3401 0.100 0.100 3401 0.000 0.000 3401 0.000 0.000 3401 0.013 0.013 3401 0.000 0.000 3401 0.033 0.033 3401 0.020 0.020 3401 0.025 0.025 3401 0.050 0.050 3401 0.067 0.067 3401 0.000 0.000 3401 0.000 0.000 3401 0.067 0.067 3401 0.023 0.023 3401 0.000 0.000 3401 0.000 0.000 3401 0.367 0.367 3401 0.000 0.000 3401 0.592 0.592 3401 0.283 0.283 3401 0.204 0.204 3401 0.442 0.442 3401 0.050 0.050 3401 2.367 0.592 2.367 0.592
4.750 3401 0.100 0.100 3401 0.025 0.025 3401 0.720 0.720 3401 0.000 0.000 3401 0.000 0.000 3401 0.034 0.034 3401 0.000 0.000 3401 0.050 0.050 3401 0.100 0.100 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.103 0.103 3401 0.000 0.000 3401 0.067 0.067 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.503 0.503 3401 0.467 0.467 3401 0.000 0.000 3401 0.517 0.517 3401 0.350 0.350 3401 0.000 0.000 3401 3.060 0.720 3.060 0.720
5.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.633 0.633 3401 0.000 0.000 3401 0.017 0.017 3401 0.000 0.000 3401 0.075 0.075 3401 0.033 0.033 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.208 0.208 3401 0.000 0.000 3401 0.217 0.217 3401 0.000 0.000 3401 0.314 0.314 3401 0.000 0.000 3401 0.467 0.467 3401 0.600 0.600 3401 0.000 0.000 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.017 0.017 3401 2.639 0.633 2.639 0.633
