time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.500 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.017 0.017 3401 0.007 0.007 3401 0.000 0.000 3401 0.050 0.050 3401 0.017 0.017 3401 0.208 0.208 3401 0.329 0.329 3401 0.000 0.000 3401 0.050 0.050 3401 0.010 0.010 3401 0.067 0.067 3401 0.024 0.024 3401 0.000 0.000 3401 0.087 0.087 3401 0.154 0.154 3401 1.070 0.329 1.070 0.329
1.000 3401 0.008 0.008 3401 0.032 0.032 3401 0.005 0.005 3401 0.013 0.013 3401 0.008 0.008 3401 0.013 0.013 3401 0.000 0.000 3401 0.107 0.107 3401 0.000 0.000 3401 0.040 0.040 3401 0.004 0.004 3401 0.013 0.013 3401 0.039 0.039 3401 0.008 0.008 3401 0.379 0.379 3401 0.165 0.165 3401 0.013 0.013 3401 0.204 0.204 3401 0.055 0.055 3401 0.033 0.033 3401 0.012 0.012 3401 0.005 0.005 3401 0.298 0.298 3401 0.177 0.177 3401 1.630 0.379 1.630 0.379
1.500 3401 0.006 0.006 3401 0.021 0.021 3401 0.031 0.031 3401 0.009 0.009 3401 0.006 0.006 3401 0.032 0.032 3401 0.017 0.017 3401 0.072 0.072 3401 0.014 0.014 3401 0.032 0.032 3401 0.002 0.002 3401 0.014 0.014 3401 0.153 0.153 3401 0.006 0.006 3401 0.357 0.357 3401 0.110 0.110 3401 0.067 0.067 3401 0.136 0.136 3401 0.037 0.037 3401 0.039 0.039 3401 0.008 0.008 3401 0.009 0.009 3401 0.199 0.199 3401 0.312 0.312 3401 1.684 0.357 1.684 0.357
2.000 3401 0.015 0.015 3401 0.026 0.026 3401 0.044 0.044 3401 0.023 0.023 3401 0.008 0.008 3401 0.049 0.049 3401 0.014 0.014 3401 0.054 0.054 3401 0.010 0.010 3401 0.024 0.024 3401 0.002 0.002 3401 0.020 0.020 3401 0.126 0.126 3401 0.006 0.006 3401 0.274 0.274 3401 0.082 0.082 3401 0.058 0.058 3401 0.102 0.102 3401 0.029 0.029 3401 0.065 0.065 3401 0.006 0.006 3401 0.134 0.134 3401 0.156 0.156 3401 0.246 0.246 3401 1.574 0.274 1.574 0.274
2.500 3401 0.018 0.018 3401 0.026 0.026 3401 0.051 0.051 3401 0.036 0.036 3401 0.010 0.010 3401 0.043 0.043 3401 0.014 0.014 3401 0.052 0.052 3401 0.015 0.015 3401 0.020 0.020 3401 0.000 0.000 3401 0.023 0.023 3401 0.113 0.113 3401 0.010 0.010 3401 0.365 0.365 3401 0.000 0.000 3401 0.068 0.068 3401 0.093 0.093 3401 0.027 0.027 3401 0.048 0.048 3401 0.015 0.015 3401 0.138 0.138 3401 0.175 0.175 3401 0.234 0.234 3401 1.592 0.365 1.592 0.365
3.000 3401 0.014 0.014 3401 0.052 0.052 3401 0.055 0.055 3401 0.029 0.029 3401 0.009 0.009 3401 0.043 0.043 3401 0.014 0.014 3401 0.004 0.004 3401 0.015 0.015 3401 0.022 0.022 3401 0.000 0.000 3401 0.020 0.020 3401 0.108 0.108 3401 0.014 0.014 3401 0.242 0.242 3401 0.013 0.013 3401 0.083 0.083 3401 0.006 0.006 3401 0.002 0.002 3401 0.082 0.082 3401 0.105 0.105 3401 0.139 0.139 3401 0.048 0.048 3401 0.184 0.184 3401 1.302 0.242 1.302 0.242
3.500 3401 0.014 0.014 3401 0.052 0.052 3401 0.037 0.037 3401 0.029 0.029 3401 0.009 0.009 3401 0.032 0.032 3401 0.014 0.014 3401 0.006 0.006 3401 0.006 0.006 3401 0.018 0.018 3401 0.008 0.008 3401 0.024 0.024 3401 0.014 0.014 3401 0.014 0.014 3401 0.164 0.164 3401 0.028 0.028 3401 0.040 0.040 3401 0.006 0.006 3401 0.002 0.002 3401 0.103 0.103 3401 0.105 0.105 3401 0.189 0.189 3401 0.159 0.159 3401 0.039 0.039 3401 1.111 0.189 1.111 0.189
4.000 3401 0.007 0.007 3401 0.042 0.042 3401 0.017 0.017 3401 0.013 0.013 3401 0.014 0.014 3401 0.007 0.007 3401 0.012 0.012 3401 0.008 0.008 3401 0.006 0.006 3401 0.018 0.018 3401 0.008 0.008 3401 0.014 0.014 3401 0.008 0.008 3401 0.012 0.012 3401 0.157 0.157 3401 0.053 0.053 3401 0.130 0.130 3401 0.006 0.006 3401 0.000 0.000 3401 0.073 0.073 3401 0.163 0.163 3401 0.064 0.064 3401 0.169 0.169 3401 0.028 0.028 3401 1.029 0.169 1.029 0.169
4.500 3401 0.021 0.021 3401 0.066 0.066 3401 0.014 0.014 3401 0.000 0.000 3401 0.013 0.013 3401 0.007 0.007 3401 0.023 0.023 3401 0.013 0.013 3401 0.005 0.005 3401 0.027 0.027 3401 0.017 0.017 3401 0.011 0.011 3401 0.008 0.008 3401 0.012 0.012 3401 0.017 0.017 3401 0.056 0.056 3401 0.159 0.159 3401 0.051 0.051 3401 0.033 0.033 3401 0.147 0.147 3401 0.207 0.207 3401 0.085 0.085 3401 0.216 0.216 3401 0.011 0.011 3401 1.219 0.216 1.219 0.216
5.000 3401 0.033 0.033 3401 0.027 0.027 3401 0.176 0.176 3401 0.000 0.000 3401 0.012 0.012 3401 0.011 0.011 3401 0.032 0.032 3401 0.023 0.023 3401 0.021 0.021 3401 0.009 0.009 3401 0.017 0.017 3401 0.037 0.037 3401 0.019 0.019 3401 0.035 0.035 3401 0.011 0.011 3401 0.083 0.083 3401 0.137 0.137 3401 0.107 0.107 3401 0.171 0.171 3401 0.172 0.172 3401 0.116 0.116 3401 0.150 0.150 3401 0.260 0.260 3401 0.013 0.013 3401 1.674 0.260 1.674 0.260
