time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.250 2601 0.033 0.033 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.050 0.050 2601 0.025 0.025 2601 0.033 0.033 2601 0.000 0.000 2601 0.033 0.033 2601 0.000 0.000 2601 0.000 0.000 2601 0.350 0.350 2601 0.025 0.025 2601 0.000 0.000 2601 0.000 0.000 2601 0.325 0.325 2601 0.033 0.033 2601 0.000 0.000 2601 0.113 0.113 2601 0.158 0.158 2601 0.000 0.000 2601 0.000 0.000 2601 0.009 0.009 2601 0.000 0.000 2601 1.188 0.350 1.188 0.350
0.500 2601 0.033 0.033 2601 0.033 0.033 2601 0.033 0.033 2601 0.033 0.033 2601 0.000 0.000 2601 0.033 0.033 2601 0.000 0.000 2601 0.000 0.000 2601 0.100 0.100 2601 0.033 0.033 2601 0.000 0.000 2601 0.350 0.350 2601 0.033 0.033 2601 0.133 0.133 2601 0.000 0.000 2601 0.383 0.383 2601 0.270 0.270 2601 0.000 0.000 2601 0.050 0.050 2601 0.058 0.058 2601 0.011 0.011 2601 0.050 0.050 2601 0.387 0.387 2601 0.150 0.150 2601 2.176 0.387 2.176 0.387
0.750 2601 0.033 0.033 2601 0.033 0.033 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.025 0.025 2601 0.000 0.000 2601 0.058 0.058 2601 0.108 0.108 2601 0.425 0.425 2601 0.067 0.067 2601 0.125 0.125 2601 0.167 0.167 2601 0.075 0.075 2601 0.033 0.033 2601 0.583 0.583 2601 0.000 0.000 2601 0.467 0.467 2601 0.000 0.000 2601 0.000 0.000 2601 0.125 0.125 2601 0.000 0.000 2601 0.242 0.242 2601 2.567 0.583 2.567 0.583
1.000 2601 0.025 0.025 2601 0.067 0.067 2601 0.033 0.033 2601 0.033 0.033 2601 0.083 0.083 2601 0.067 0.067 2601 0.033 0.033 2601 0.100 0.100 2601 0.000 0.000 2601 0.175 0.175 2601 0.242 0.242 2601 0.387 0.387 2601 0.000 0.000 2601 0.617 0.617 2601 0.375 0.375 2601 0.067 0.067 2601 0.100 0.100 2601 0.258 0.258 2601 0.200 0.200 2601 0.467 0.467 2601 0.167 0.167 2601 0.053 0.053 2601 0.208 0.208 2601 0.600 0.600 2601 4.357 0.617 4.357 0.617
1.250 2601 0.125 0.125 2601 0.000 0.000 2601 0.000 0.000 2601 0.050 0.050 2601 0.033 0.033 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.146 0.146 2601 0.167 0.167 2601 0.200 0.200 2601 0.033 0.033 2601 0.100 0.100 2601 0.300 0.300 2601 0.000 0.000 2601 0.142 0.142 2601 0.100 0.100 2601 0.042 0.042 2601 0.300 0.300 2601 0.025 0.025 2601 0.000 0.000 2601 0.000 0.000 2601 0.014 0.014 2601 1.777 0.300 1.777 0.300
1.500 2601 0.067 0.067 2601 0.092 0.092 2601 0.033 0.033 2601 0.117 0.117 2601 0.067 0.067 2601 0.067 0.067 2601 0.000 0.000 2601 0.070 0.070 2601 0.067 0.067 2601 0.133 0.133 2601 0.150 0.150 2601 0.417 0.417 2601 0.000 0.000 2601 0.092 0.092 2601 0.083 0.083 2601 0.210 0.210 2601 0.117 0.117 2601 0.150 0.150 2601 0.092 0.092 2601 0.575 0.575 2601 0.000 0.000 2601 0.033 0.033 2601 0.000 0.000 2601 0.725 0.725 2601 3.355 0.725 3.355 0.725
1.750 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.075 0.075 2601 0.267 0.267 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.070 0.070 2601 0.025 0.025 2601 0.050 0.050 2601 0.000 0.000 2601 0.150 0.150 2601 0.033 0.033 2601 0.158 0.158 2601 0.000 0.000 2601 0.125 0.125 2601 0.000 0.000 2601 0.000 0.000 2601 0.467 0.467 2601 1.420 0.467 1.420 0.467
2.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.053 0.053 2601 0.000 0.000 2601 0.000 0.000 2601 0.033 0.033 2601 0.000 0.000 2601 0.333 0.333 2601 0.059 0.059 2601 0.100 0.100 2601 0.033 0.033 2601 0.000 0.000 2601 0.000 0.000 2601 0.025 0.025 2601 0.100 0.100 2601 0.158 0.158 2601 0.000 0.000 2601 0.075 0.075 2601 0.000 0.000 2601 0.650 0.650 2601 0.000 0.000 2601 1.621 0.650 1.621 0.650
2.250 2601 0.233 0.233 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.025 0.025 2601 0.033 0.033 2601 0.000 0.000 2601 0.000 0.000 2601 0.415 0.415 2601 0.000 0.000 2601 0.000 0.000 2601 0.050 0.050 2601 0.000 0.000 2601 0.000 0.000 2601 0.067 0.067 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.000 0.000 2601 0.107 0.107 2601 0.000 0.000 2601 0.050 0.050 2601 0.981 0.415 0.981 0.415
2.500 2601 0.100 0.100 2601 0.050 0.050 2601 0.033 0.033 2601 0.033 0.033 2601 0.058 0.058 2601 0.033 0.033 2601 0.033 0.033 2601 0.125 0.125 2601 0.033 0.033 2601 0.033 0.033 2601 0.300 0.300 2601 0.058 0.058 2601 0.050 0.050 2601 0.217 0.217 2601 0.033 0.033 2601 0.145 0.145 2601 0.033 0.033 2601 0.208 0.208 2601 0.033 0.033 2601 0.177 0.177 2601 0.025 0.025 2601 0.025 0.025 2601 0.108 0.108 2601 0.065 0.065 2601 2.011 0.300 2.011 0.300
